site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAAKAN0009,FVC-PV,50.788,88.375,30.833,9.701,10.958,0.179,increasing,0.045,0.00037364,45.173,"['2013-10-01', '2022-12-01', '2020-11-30']","[0.999, 0.998, 0.519]","['2017-04-02', '2017-11-01', '2016-07-31']","[0.579, 0.578, 0.52]",SAAKAN0009,-35.943027,137.324832,KAN
SAAKAN0010,FVC-PV,54.278,74.25,39.5,7.103,9.833,0.386,increasing,0.072,1.73E-14,46.643,"['2013-07-02', '2020-06-01', '2018-03-02']","[1.0, 0.957, 0.633]","['2015-01-01', '2015-09-01', '2020-05-01']","[0.599, 0.599, 0.13]",SAAKAN0010,-35.842017,137.906987,KAN
SAAKAN0011,FVC-PV,62.748,91,38,8.352,8.958,0.163,increasing,0.037,0.001210877,59.077,"['2022-05-02', '2016-08-31', '2015-01-31']","[0.997, 0.976, 0.965]","['2023-04-02', '2020-05-01', '2023-10-01']","[0.864, 0.858, 0.183]",SAAKAN0011,-35.783373,138.061671,KAN
SAAKAN0012,FVC-PV,52.438,65,40.708,4.462,5.125,0.135,increasing,0.016,0.007310864,50.731,"['2020-05-01', '2013-06-02', '2014-11-01']","[0.857, 0.839, 0.651]","['2017-09-01', '2018-07-02', '2017-01-01']","[0.595, 0.572, 0.413]",SAAKAN0012,-35.884354,137.989879,KAN
SAAMDD0007,FVC-PV,20.552,57.167,6.5,11.394,15.875,-0.126,decreasing,-0.036,0.012153988,19.795,"['2022-07-02', '2017-10-01', '2023-09-01']","[0.996, 0.945, 0.72]","['2010-10-01', '2016-08-31', '2012-09-30']","[0.987, 0.877, 0.801]",SAAMDD0007,-34.36234611,139.4997236,MDD
SAAMDD0008,FVC-PV,39.167,51.917,26.75,5.245,7.167,-0.249,decreasing,-0.037,7.22E-07,42.163,"['2024-01-31', '2020-10-31', '2019-08-01']","[0.855, 0.667, 0.665]","['2017-06-02', '2020-06-01', '2021-06-02']","[0.583, 0.296, 0.293]",SAAMDD0008,-34.34173111,139.5077222,MDD
SAAMDD0009,FVC-PV,24.85,54.333,11.167,9.108,12.25,-0.155,decreasing,-0.039,0.002110393,26.336,"['2022-09-01', '2018-04-02', '2023-09-01']","[1.0, 0.758, 0.675]","['2010-08-01', '2014-11-01', '2014-03-02']","[1.0, 0.561, 0.536]",SAAMDD0009,-34.35790194,139.4859286,MDD
SAAMDD0010,FVC-PV,28.882,39.5,17.083,4.292,6.097,-0.188,decreasing,-0.023,0.000191183,30.505,"['2020-08-31', '2012-05-01', '2017-01-01']","[0.996, 0.96, 0.939]","['2022-04-02', '2014-10-01', '2015-07-02']","[0.95, 0.431, 0.314]",SAAMDD0010,-34.32056583,139.5024239,MDD
SAAMDD0011,FVC-PV,31.775,56.833,17.75,7.427,9.583,-0.117,decreasing,-0.025,0.020182362,32.952,"['2010-08-01', '2017-09-01', '2022-01-01']","[0.991, 0.987, 0.809]","['2014-09-01', '2012-11-30', '2014-01-31']","[0.982, 0.973, 0.972]",SAAMDD0011,-34.31998056,139.5300286,MDD
SAANUL0001,FVC-PV,9.455,33.417,0.917,6.302,6.458,0.015,no trend,0.002,0.773187626,8.159,"['2016-06-01', '2020-09-30', '2018-05-02']","[0.981, 0.886, 0.877]","['2011-01-01', '2014-11-01', '2014-04-02']","[0.912, 0.648, 0.628]",SAANUL0001,-30.96575833,132.0876417,NUL
SAANUL0002,FVC-PV,20.498,34.667,9.667,5.771,9.042,-0.149,decreasing,-0.022,0.003146064,20.828,"['2020-08-31', '2019-08-01', '2018-08-01']","[0.999, 0.949, 0.715]","['2016-10-31', '2017-07-02', '2010-11-01']","[0.988, 0.984, 0.936]",SAANUL0002,-31.39337222,131.2773722,NUL
SAANUL0003,FVC-PV,12.243,28.5,1.167,5.422,7.5,-0.08,no trend,-0.013,0.11249373,12.671,"['2019-01-31', '2020-08-31', '2012-03-01']","[0.777, 0.664, 0.645]","['2016-10-31', '2010-08-01', '2017-12-01']","[0.537, 0.53, 0.431]",SAANUL0003,-31.482375,131.2667917,NUL
